order_id,date,product,city,quantity,unit_price,revenue
1044,2024-01-01,Notebook,Köln,5,899.0,4495.0
1035,2024-01-02,Tastatur,Berlin,3,49.0,147.0
1019,2024-01-04,Monitor,Hamburg,1,199.0,199.0
1209,2024-01-09,Tastatur,Köln,3,49.0,147.0
1039,2024-01-13,Monitor,Köln,2,199.0,398.0
1041,2024-01-13,Monitor,Hamburg,2,199.0,398.0
1070,2024-01-15,Maus,München,4,25.0,100.0
1135,2024-01-15,Notebook,München,2,899.0,1798.0
1042,2024-01-15,Maus,München,1,25.0,25.0
1195,2024-01-15,Tastatur,Berlin,1,49.0,49.0
1112,2024-01-18,Tastatur,Köln,5,49.0,245.0
1175,2024-01-19,Notebook,Köln,3,899.0,2697.0
1100,2024-01-19,Monitor,Köln,2,199.0,398.0
1153,2024-01-21,Notebook,Hamburg,2,899.0,1798.0
1181,2024-01-22,Tastatur,Köln,3,49.0,147.0
1005,2024-01-24,Monitor,Berlin,2,199.0,398.0
1140,2024-01-24,Maus,München,2,25.0,50.0
1052,2024-01-26,Monitor,Köln,5,199.0,995.0
1218,2024-01-26,Monitor,Hamburg,5,199.0,995.0
1133,2024-01-27,Tastatur,Köln,3,49.0,147.0
1166,2024-01-28,Notebook,Köln,4,899.0,3596.0
1022,2024-02-01,Notebook,Berlin,4,899.0,3596.0
1057,2024-02-01,Maus,Köln,2,25.0,50.0
1190,2024-02-03,Monitor,Berlin,3,199.0,597.0
1128,2024-02-03,Tastatur,Hamburg,2,49.0,98.0
1067,2024-02-05,Maus,München,5,25.0,125.0
1032,2024-02-05,Monitor,München,2,199.0,398.0
1079,2024-02-07,Maus,Köln,5,25.0,125.0
1106,2024-02-10,Monitor,Hamburg,5,199.0,995.0
1062,2024-02-11,Maus,München,4,25.0,100.0
1016,2024-02-13,Monitor,Berlin,4,199.0,796.0
1115,2024-02-16,Maus,München,4,25.0,100.0
1001,2024-02-17,Notebook,Berlin,2,899.0,1798.0
1021,2024-02-18,Maus,Hamburg,1,25.0,25.0
1167,2024-02-20,Notebook,München,3,899.0,2697.0
1147,2024-02-22,Monitor,Hamburg,2,199.0,398.0
1134,2024-02-25,Maus,Hamburg,3,25.0,75.0
1036,2024-02-27,Maus,Berlin,1,25.0,25.0
1185,2024-02-28,Tastatur,Hamburg,1,49.0,49.0
1144,2024-02-28,Maus,München,4,25.0,100.0
1091,2024-02-29,Tastatur,München,4,49.0,196.0
1121,2024-03-03,Tastatur,Hamburg,4,49.0,196.0
1177,2024-03-04,Tastatur,München,3,49.0,147.0
1125,2024-03-05,Tastatur,Berlin,4,49.0,196.0
1194,2024-03-05,Monitor,München,3,199.0,597.0
1037,2024-03-06,Monitor,Köln,1,199.0,199.0
1124,2024-03-08,Notebook,Berlin,1,899.0,899.0
1189,2024-03-12,Notebook,Hamburg,2,899.0,1798.0
1009,2024-03-14,Maus,Köln,3,25.0,75.0
1101,2024-03-14,Maus,Berlin,4,25.0,100.0
1082,2024-03-21,Tastatur,Berlin,2,49.0,98.0
1163,2024-03-23,Maus,Köln,2,25.0,50.0
1007,2024-03-24,Monitor,Hamburg,4,199.0,796.0
1160,2024-03-24,Maus,Hamburg,2,25.0,50.0
1146,2024-03-27,Monitor,München,1,199.0,199.0
1075,2024-04-08,Notebook,Hamburg,2,899.0,1798.0
1162,2024-04-09,Tastatur,Köln,3,49.0,147.0
1206,2024-04-11,Tastatur,Hamburg,5,49.0,245.0
1113,2024-04-12,Maus,Hamburg,2,25.0,50.0
1034,2024-04-14,Monitor,München,3,199.0,597.0
1025,2024-04-19,Maus,Köln,4,25.0,100.0
1158,2024-04-19,Tastatur,Hamburg,3,49.0,147.0
1217,2024-04-19,Tastatur,Köln,2,49.0,98.0
1111,2024-04-22,Monitor,München,2,199.0,398.0
1010,2024-04-22,Maus,München,2,25.0,50.0
1099,2024-04-29,Monitor,Köln,4,199.0,796.0
1120,2024-04-30,Maus,Köln,3,25.0,75.0
1118,2024-04-30,Notebook,Berlin,5,899.0,4495.0
1049,2024-04-30,Tastatur,Berlin,3,49.0,147.0
1173,2024-05-03,Notebook,München,1,899.0,899.0
1202,2024-05-03,Maus,Köln,2,25.0,50.0
1145,2024-05-04,Maus,Berlin,4,25.0,100.0
1063,2024-05-06,Notebook,Berlin,2,899.0,1798.0
1176,2024-05-09,Maus,Köln,1,25.0,25.0
1141,2024-05-10,Monitor,Hamburg,3,199.0,597.0
1054,2024-05-12,Maus,Köln,2,25.0,50.0
1061,2024-05-13,Monitor,Berlin,4,199.0,796.0
1210,2024-05-15,Notebook,Köln,5,899.0,4495.0
1033,2024-05-15,Notebook,Hamburg,1,899.0,899.0
1030,2024-05-15,Tastatur,Hamburg,4,49.0,196.0
1059,2024-05-19,Maus,Hamburg,4,25.0,100.0
1139,2024-05-19,Maus,Köln,2,25.0,50.0
1000,2024-05-20,Notebook,Berlin,2,899.0,1798.0
1155,2024-05-25,Notebook,Köln,3,899.0,2697.0
1055,2024-05-26,Maus,Berlin,2,25.0,50.0
1169,2024-05-27,Maus,Berlin,2,25.0,50.0
1090,2024-05-27,Maus,Köln,4,25.0,100.0
1095,2024-05-29,Monitor,Köln,5,199.0,995.0
1058,2024-06-01,Notebook,München,4,899.0,3596.0
1188,2024-06-02,Notebook,München,2,899.0,1798.0
1047,2024-06-04,Maus,Berlin,3,25.0,75.0
1085,2024-06-06,Notebook,Hamburg,5,899.0,4495.0
1156,2024-06-07,Monitor,München,4,199.0,796.0
1065,2024-06-08,Notebook,Berlin,5,899.0,4495.0
1027,2024-06-09,Notebook,Berlin,1,899.0,899.0
1043,2024-06-09,Maus,München,4,25.0,100.0
1008,2024-06-10,Monitor,Berlin,4,199.0,796.0
1191,2024-06-11,Notebook,Hamburg,1,899.0,899.0
1199,2024-06-12,Tastatur,Berlin,2,49.0,98.0
1069,2024-06-14,Maus,München,2,25.0,50.0
1087,2024-06-14,Notebook,Köln,5,899.0,4495.0
1193,2024-06-14,Monitor,Hamburg,2,199.0,398.0
1098,2024-06-25,Maus,Köln,3,25.0,75.0
1216,2024-06-25,Maus,Köln,2,25.0,50.0
1074,2024-06-29,Maus,München,4,25.0,100.0
1038,2024-06-30,Monitor,Berlin,5,199.0,995.0
1105,2024-07-02,Notebook,München,3,899.0,2697.0
1076,2024-07-03,Tastatur,Hamburg,2,49.0,98.0
1132,2024-07-09,Maus,Berlin,2,25.0,50.0
1184,2024-07-09,Maus,München,4,25.0,100.0
1131,2024-07-10,Tastatur,München,2,49.0,98.0
1096,2024-07-15,Maus,Hamburg,2,25.0,50.0
1109,2024-07-15,Tastatur,Hamburg,4,49.0,196.0
1200,2024-07-15,Notebook,München,5,899.0,4495.0
1060,2024-07-20,Monitor,Berlin,5,199.0,995.0
1208,2024-07-20,Tastatur,Hamburg,5,49.0,245.0
1204,2024-07-24,Tastatur,Berlin,1,49.0,49.0
1046,2024-07-25,Maus,München,3,25.0,75.0
1154,2024-07-28,Tastatur,Köln,3,49.0,147.0
1130,2024-07-30,Maus,Hamburg,3,25.0,75.0
1212,2024-08-02,Maus,München,2,25.0,50.0
1137,2024-08-02,Monitor,Köln,4,199.0,796.0
1026,2024-08-04,Maus,München,5,25.0,125.0
1084,2024-08-05,Tastatur,Hamburg,1,49.0,49.0
1179,2024-08-08,Maus,Berlin,5,25.0,125.0
1192,2024-08-09,Monitor,Hamburg,5,199.0,995.0
1078,2024-08-13,Maus,Köln,3,25.0,75.0
1165,2024-08-18,Monitor,München,5,199.0,995.0
1150,2024-08-19,Tastatur,Köln,1,49.0,49.0
1187,2024-08-19,Monitor,Berlin,2,199.0,398.0
1013,2024-08-20,Maus,Hamburg,1,25.0,25.0
1197,2024-08-20,Maus,München,1,25.0,25.0
1050,2024-08-21,Maus,Berlin,4,25.0,100.0
1004,2024-08-23,Tastatur,Berlin,5,49.0,245.0
1107,2024-08-24,Monitor,Hamburg,3,199.0,597.0
1064,2024-08-26,Notebook,Hamburg,3,899.0,2697.0
1172,2024-08-28,Notebook,Köln,1,899.0,899.0
1088,2024-08-28,Notebook,Hamburg,5,899.0,4495.0
1149,2024-08-28,Maus,Berlin,4,25.0,100.0
1127,2024-09-02,Notebook,Berlin,4,899.0,3596.0
1119,2024-09-07,Maus,Berlin,5,25.0,125.0
1201,2024-09-12,Monitor,Hamburg,5,199.0,995.0
1142,2024-09-13,Maus,Hamburg,5,25.0,125.0
1129,2024-09-15,Tastatur,Köln,5,49.0,245.0
1097,2024-09-16,Maus,München,3,25.0,75.0
1048,2024-09-18,Maus,Hamburg,4,25.0,100.0
1182,2024-09-19,Maus,München,2,25.0,50.0
1018,2024-09-21,Tastatur,Köln,4,49.0,196.0
1207,2024-09-22,Tastatur,Köln,4,49.0,196.0
1092,2024-09-22,Notebook,Hamburg,3,899.0,2697.0
1017,2024-09-27,Monitor,München,5,199.0,995.0
1203,2024-10-01,Maus,München,1,25.0,25.0
1094,2024-10-09,Monitor,München,1,199.0,199.0
1164,2024-10-10,Maus,München,1,25.0,25.0
1072,2024-10-11,Maus,Köln,2,25.0,50.0
1080,2024-10-12,Monitor,Berlin,4,199.0,796.0
1148,2024-10-15,Maus,Köln,5,25.0,125.0
1122,2024-10-16,Monitor,Hamburg,2,199.0,398.0
1136,2024-10-16,Monitor,Hamburg,4,199.0,796.0
1151,2024-10-24,Maus,Köln,5,25.0,125.0
1081,2024-10-28,Maus,München,4,25.0,100.0
1002,2024-10-28,Monitor,Köln,3,199.0,597.0
1028,2024-10-31,Monitor,Berlin,1,199.0,199.0
1071,2024-11-01,Tastatur,München,3,49.0,147.0
1011,2024-11-01,Monitor,Köln,1,199.0,199.0
1123,2024-11-01,Tastatur,Hamburg,1,49.0,49.0
1170,2024-11-01,Notebook,Köln,5,899.0,4495.0
